species,Longitude,Latitude
Nardostachys jatamansi,81.80060865,29.84479958
Nardostachys jatamansi,81.91658147,29.93118304
Nardostachys jatamansi,81.86917016,29.99651404
Nardostachys jatamansi,82.41935444,29.27942052
Nardostachys jatamansi,80.89726084,29.78749609
Nardostachys jatamansi,82.3924268,29.39529381
Nardostachys jatamansi,82.22617524,29.62289326
Nardostachys jatamansi,81.93167139,29.92393918
Nardostachys jatamansi,82.26944303,29.63053564
Nardostachys jatamansi,81.86064677,30.01076493
Nardostachys jatamansi,81.84424791,29.84191977
Nardostachys jatamansi,82.36699956,29.35095983
Nardostachys jatamansi,81.78789336,29.84305313
Nardostachys jatamansi,81.82672965,29.85905953
Nardostachys jatamansi,82.35351314,29.47204736
Nardostachys jatamansi,81.00436579,29.77915179
Nardostachys jatamansi,80.87201983,29.70288323
Nardostachys jatamansi,82.27108548,29.4250681
Nardostachys jatamansi,81.81561046,29.85780211
Nardostachys jatamansi,81.90132366,30.00503311
Nardostachys jatamansi,80.88526209,29.80300902
Nardostachys jatamansi,80.94603451,29.66963167
Nardostachys jatamansi,81.8992999,29.93807017
Nardostachys jatamansi,81.83755813,29.87134555
Nardostachys jatamansi,82.3701475,29.35989753
Nardostachys jatamansi,81.85201375,29.99184341
Nardostachys jatamansi,81.88810898,29.98926765
Nardostachys jatamansi,82.22572629,29.6131063
Nardostachys jatamansi,82.37183515,29.40738304
Nardostachys jatamansi,80.8705753,29.69268356
Nardostachys jatamansi,80.8880507,29.70542475
Nardostachys jatamansi,81.92822569,29.99575897
Nardostachys jatamansi,80.98651178,29.68471381
Nardostachys jatamansi,82.27442805,29.62202334
Nardostachys jatamansi,82.38008692,29.39263373
Nardostachys jatamansi,82.33313949,29.27869329
Nardostachys jatamansi,81.86037012,29.97869507
Nardostachys jatamansi,80.97638211,29.6872394
Nardostachys jatamansi,82.47018825,29.33305087
Nardostachys jatamansi,82.18352785,29.36366047
Nardostachys jatamansi,81.77836977,29.83903057
Nardostachys jatamansi,81.85747729,30.00030865
Nardostachys jatamansi,82.37219399,29.42028376
Nardostachys jatamansi,82.34089698,29.2673804
Nardostachys jatamansi,82.15288352,29.3649667
Nardostachys jatamansi,82.27317639,29.40261385
Nardostachys jatamansi,80.94688501,29.58497641
Nardostachys jatamansi,82.40546639,29.38809112
Nardostachys jatamansi,82.47797159,29.32432897
Nardostachys jatamansi,81.86290956,29.84049966
Nardostachys jatamansi,82.38293819,29.35353888
Nardostachys jatamansi,80.99448554,29.78501794
Nardostachys jatamansi,81.89382816,30.01205079
Nardostachys jatamansi,81.83792163,29.86032456
Nardostachys jatamansi,82.44707189,29.35225394
Nardostachys jatamansi,82.34647364,29.3926617
Nardostachys jatamansi,81.7658146,29.85405742
Nardostachys jatamansi,82.48022927,29.36725784
Nardostachys jatamansi,82.42065453,29.29378213
Nardostachys jatamansi,82.19140355,29.35611809
Nardostachys jatamansi,81.88177163,29.98184732
Nardostachys jatamansi,82.45444865,29.29940133
Nardostachys jatamansi,82.44666945,29.28798917
Nardostachys jatamansi,80.87990053,29.78679557
Nardostachys jatamansi,80.95555576,29.59129721
Nardostachys jatamansi,82.32839936,29.47344651
Nardostachys jatamansi,82.30134727,29.43698558
Nardostachys jatamansi,80.90361161,29.81104678
Nardostachys jatamansi,81.00985062,29.79672298
Nardostachys jatamansi,82.24228085,29.42899471
